customer_id,for_month,mrr,last_yr,last_mrr,mobile_experiments_started,experiments_started,allocation,utilization,tickets_created,impressions,impression_revenue,knowledge_base_views,logins,sig_exp_90,brand_ops,running_experiment_days,vertical,segment,country,region,number_of_employees,traffic,annual_revenue,account_potential_score,ae,csm,partner_flag,first_month,last_month,final_row,churn?,days_overdue,collaborators_added,billing_period,age,contract_start_date,retention,churn_dollars,
275406366,12/1/2016,1641,12/1/2015,359,0,0,0,0,0,0,0,0,40,yes,,0,High Tech,Corporate,United States,North America,250,"314,062","39,368,000",2,1,1,no,8/31/2013,12/31/2016,TRUE,Active,0,11,,,9/26/2016,1,0,
285656357,12/1/2016,3320,12/1/2015,2175,0,0,0,0,0,0,0,0,289,yes,,0,Retail,Corporate,Canada,North America,200,"833,989","19,500,000",3,1,1,no,8/31/2013,12/31/2016,TRUE,Active,0,9,,346,7/1/2016,1,0,
303882428,12/1/2016,1658,12/1/2015,1658,0,0,0,0,0,0,0,0,88,no,,0,Other,Corporate,United States,North America,5,"329,221",0,2,1,1,no,9/30/2013,12/31/2016,TRUE,Active,0,13,,,10/19/2016,1,0,
341404871,12/1/2016,1385,12/1/2015,399,0,0,0,0,0,0,0,0,288,yes,,0,Retail,Corporate,United States,North America,28,"100,000",,2,1,1,no,11/30/2013,12/31/2016,TRUE,Active,0,2,,,6/20/2016,1,0,
350150033,12/1/2016,3000,12/1/2015,3000,0,0,0,0,0,0,0,0,105,yes,,0,Financial Services,Corporate,United States,North America,4,"429,197","3,711,999.90",2,1,1,no,12/31/2015,12/31/2016,TRUE,Active,0,16,,,12/1/2016,1,0,
524690941,12/1/2016,2800,12/1/2015,2800,0,0,0,0,0,0,0,0,420,no,,0,Retail,Corporate,United States,North America,12,"703,900","1,267,000",2,1,1,no,1/31/2014,12/31/2016,TRUE,Active,18,12,,287,1/2/2017,1,0,
538110671,12/1/2016,1500,12/1/2015,0,0,0,0,0,0,0,0,0,18,yes,,0,High Tech,Corporate,Malta,North America,10,"1,600,000",,3,1,1,yes,1/31/2014,12/31/2016,TRUE,Active,,2,,,6/23/2016,,,
565580247,12/1/2016,2583,12/1/2015,2583,0,0,0,0,0,0,0,0,300,yes,,0,Other,Enterprise,United States,North America,"3,400","1,000,000","1,107,350,000",4,1,1,no,2/28/2014,12/31/2016,TRUE,Active,0,7,,299,2/1/2016,1,0,
592210561,8/1/2016,2637,8/1/2015,19,0,2,175000,102226,0,794202,11967,0,105,yes,,230,Other,Corporate,United States,North America,72,"88,000",0,2,1,1,yes,4/30/2014,8/31/2016,TRUE,Churned,0,2,,,9/14/2015,1,0,
627150995,12/1/2016,3328,12/1/2015,2000,0,0,0,0,0,0,0,0,552,yes,,0,Other,Corporate,United States,North America,15,"454,092",0,2,1,1,no,7/31/2014,12/31/2016,TRUE,Active,0,25,,,12/13/2016,1,0,
655050218,12/1/2016,1850,12/1/2015,399,0,0,0,0,0,0,0,0,774,yes,,0,Schools & Education,Enterprise,United States,North America,120,"4,700,000","7,280,000",4,1,1,no,3/31/2014,12/31/2016,TRUE,Active,0,20,,49,7/29/2016,1,0,
790510117,12/1/2016,2500,12/1/2015,2500,0,0,0,0,0,0,0,0,0,no,,0,Media,Corporate,United States,North America,250,"582,783","35,200,000",2,1,1,no,4/30/2014,12/31/2016,TRUE,Active,20,11,,379,4/15/2016,1,0,
859951843,12/1/2016,1000,12/1/2015,0,0,0,0,0,0,0,0,0,54,no,,0,Other,Corporate,United States,North America,100,"377,652",,2,1,1,no,8/31/2014,12/31/2016,TRUE,Active,14,8,,140,6/6/2016,,,
867550373,12/1/2016,4000,12/1/2015,4000,0,0,0,0,0,0,0,0,0,yes,,0,Retail,Enterprise,United States,North America,"1,700","277,044","886,945,010",4,,1,no,7/31/2014,12/31/2016,TRUE,Active,0,10,,382,7/14/2016,1,0,
921500555,12/1/2016,3246,12/1/2015,3246,0,0,0,0,0,0,0,0,90,no,,0,Retail,Corporate,United States,North America,"2,000","557,942","260,700,000",3,1,1,no,6/30/2014,12/31/2016,TRUE,Active,4,17,,389,6/15/2016,1,0,
1031157639,12/1/2016,1000,12/1/2015,19,0,0,0,0,0,0,0,0,340,,,0,Insurance,SMB,United States,North America,240,1,,1,1,1,no,12/31/2014,12/31/2016,TRUE,Active,0,2,Annual,137,10/3/2016,1,0,
1120691653,12/1/2016,2333,12/1/2015,2500,0,0,0,0,0,0,0,0,72,no,,0,Travel & Entertainment,Corporate,United States,North America,35,"223,960","5,000,000",2,1,1,no,7/31/2014,12/31/2016,TRUE,Active,0,10,,545,1/1/2016,1,-167,
1281752415,12/1/2016,2000,12/1/2015,4000,0,0,0,0,0,0,0,0,420,yes,,0,Retail,Corporate,United States,North America,15,"1,536,853","25,000,000",3,1,1,no,2/28/2015,12/31/2016,TRUE,Active,0,6,,,2/1/2017,1,-2000,
1611684088,12/1/2016,1633,12/1/2015,0,0,0,0,0,0,0,0,0,36,yes,,0,Retail,SMB,United States,North America,5,"25,391",0,1,1,1,yes,8/31/2014,12/31/2016,TRUE,Active,,9,Annual,63,7/5/2016,,,
1627924102,12/1/2016,2741,12/1/2015,2741,0,0,0,0,0,0,0,0,24,yes,,0,High Tech,Enterprise,United States,North America,500,"15,800,000","48,000,000",5,1,1,no,7/31/2014,12/31/2016,TRUE,Active,0,4,,398,7/30/2016,1,0,
1746691116,12/1/2016,1900,12/1/2015,0,0,0,0,0,0,0,0,0,24,,,0,Other,Corporate,United States,North America,200,"50,000",,2,1,1,no,9/30/2014,12/31/2016,TRUE,Active,,2,Annual,7,12/19/2016,,,
1747840492,12/1/2016,3498,12/1/2015,399,0,0,0,0,0,0,0,0,0,no,,0,Media,Enterprise,Brazil,South America,100,"245,000,000",0,5,1,1,no,9/30/2014,12/31/2016,TRUE,Active,0,13,,,2/1/2016,1,0,
1760490841,12/1/2016,1062,12/1/2015,1062,0,0,0,0,0,0,0,0,0,no,,0,Retail,Corporate,United States,North America,20,"80,000","4,000,000",2,1,1,no,3/31/2015,12/31/2016,TRUE,Active,0,5,,70,3/17/2016,1,0,
1790135602,12/1/2016,3810,12/1/2015,3138,0,0,0,0,0,0,0,0,1128,,,0,Schools & Education,Corporate,United States,North America,"4,460","7,000","638,700,000",3,1,1,yes,9/30/2014,12/31/2016,TRUE,Active,0,13,,832,12/5/2016,1,0,
2009432555,12/1/2016,3735,12/1/2015,399,0,0,0,0,0,0,0,0,715,yes,,0,High Tech,Corporate,United States,North America,20,"100,000",,2,1,1,no,11/30/2014,12/31/2016,TRUE,Active,0,6,,,9/1/2016,1,0,
2010290551,12/1/2016,1721,12/1/2015,1200,0,0,0,0,0,0,0,0,180,yes,,0,Retail,Corporate,United States,North America,75,"120,400",0,2,1,1,no,2/28/2015,12/31/2016,TRUE,Active,0,9,,426,2/16/2016,1,0,
2058030241,11/1/2016,1000,11/1/2015,0,0,0,75000,34091,0,0,0,0,96,no,,2,Retail,Corporate,United States,North America,30,"71,736",0,2,1,1,no,11/30/2014,11/30/2016,TRUE,Active,0,12,,42,12/7/2015,,,
2067830267,12/1/2016,4501,12/1/2015,4501,0,0,0,0,0,0,0,0,112,no,,0,High Tech,Corporate,United States,North America,240,"3,357,611",0,3,1,1,no,9/30/2015,12/31/2016,TRUE,Active,0,13,,,9/17/2016,1,0,
2109811089,12/1/2016,1500,12/1/2015,1500,0,0,0,0,0,0,0,0,24,yes,,0,High Tech,Corporate,United States,North America,300,"514,000","30,000,000",2,1,1,yes,2/28/2015,12/31/2016,TRUE,Active,0,11,,,2/13/2016,1,0,
2180410814,12/1/2016,1000,12/1/2015,1000,0,0,0,0,0,0,0,0,26,no,,0,Other,Corporate,Canada,North America,"1,100","163,074","446,700,000",3,1,1,no,1/31/2015,12/31/2016,TRUE,Active,0,7,,469,1/1/2016,1,0,
2186420086,12/1/2016,1380,,,0,0,0,0,0,0,0,0,0,,,0,Financial Services,Corporate,,,520,"155,049","116,667,000",3,1,1,no,12/31/2016,12/31/2016,TRUE,Active,,5,,,12/14/2016,,,
2316021774,12/1/2016,1380,12/1/2015,1380,0,0,0,0,0,0,0,0,0,no,,0,Media,Corporate,United States,North America,5,"1,758,167","121,000",3,1,1,no,5/31/2015,12/31/2016,TRUE,Active,0,7,,98,5/1/2016,1,0,
2322270037,12/1/2016,4000,12/1/2015,4000,0,0,0,0,0,0,0,0,0,no,,0,Non-Profit,Corporate,United States,North America,869,"330,823","100,650,000",3,1,1,no,1/31/2015,12/31/2016,TRUE,Active,0,4,,441,1/5/2016,1,0,
2427151003,12/1/2016,3344,12/1/2015,2310,0,0,0,0,0,0,0,0,144,yes,,0,High Tech,Corporate,United States,North America,84,"110,000",,2,1,1,no,11/30/2015,12/31/2016,TRUE,Active,0,7,,13,11/26/2016,1,0,
2447180279,12/1/2016,1499,,,0,0,0,0,0,0,0,0,384,yes,,0,High Tech,Corporate,United States,North America,35,"200,000",0,2,1,1,no,1/31/2016,12/31/2016,TRUE,Active,0,13,,,1/4/2017,,,
2499140228,12/1/2016,1155,,,0,0,0,0,0,0,0,0,72,yes,,0,Retail,SMB,,,50,"40,000",0,1,1,1,no,11/30/2016,12/31/2016,TRUE,Active,,3,,,11/28/2016,,,
2511420542,12/1/2016,1500,12/1/2015,1500,0,0,0,0,0,0,0,0,576,yes,,0,High Tech,Enterprise,United States,North America,173,"7,346,117",0,4,1,1,no,11/30/2015,12/31/2016,TRUE,Active,0,11,,160,11/1/2016,1,0,
2534570409,12/1/2016,4417,12/1/2015,4417,0,0,0,0,0,0,0,0,216,yes,,0,Media,Corporate,Canada,North America,"11,000","3,000,000","1,118,506,600",3,1,1,no,3/31/2015,12/31/2016,TRUE,Active,0,3,,138,3/1/2016,1,0,
2603620989,12/1/2016,2750,12/1/2015,2853,0,0,0,0,0,0,0,0,1320,yes,,0,Media,Corporate,United States,North America,,,,0,1,1,yes,5/31/2015,12/31/2016,TRUE,Active,0,4,,91,5/1/2016,1,-103,
2648101639,12/1/2016,1044,12/1/2015,2450,0,0,0,0,0,0,0,0,231,yes,,0,Agency/Professional Services,Corporate,United States,North America,140,"880,275","68,100,000",3,1,1,yes,12/31/2015,12/31/2016,TRUE,Active,0,7,,265,12/1/2016,0,-1406,
2652201206,12/1/2016,1000,12/1/2015,1000,0,0,0,0,0,0,0,0,0,yes,,0,Retail,Corporate,United States,North America,31,"88,813",0,2,1,1,no,6/30/2015,12/31/2016,TRUE,Active,0,7,,122,6/18/2016,1,0,
2677350546,12/1/2016,2333,12/1/2015,2333,0,0,0,0,0,0,0,0,180,yes,,0,Retail,Corporate,United States,North America,60,"910,000",0,3,1,1,yes,8/31/2015,12/31/2016,TRUE,Active,0,32,,,8/1/2016,1,0,
2712780108,12/1/2016,3238,,,0,0,0,0,0,0,0,0,324,yes,,0,Financial Services,Corporate,,,"6,465","109,025","625,857,000",3,1,1,no,9/30/2016,12/31/2016,TRUE,Active,,2,,,9/5/2016,,,
2743540682,12/1/2016,1000,12/1/2015,1000,0,0,0,0,0,0,0,0,0,no,,0,Retail,SMB,Brazil,South America,120,"44,895",0,1,1,1,no,6/30/2015,12/31/2016,TRUE,Active,0,7,,,6/1/2016,1,0,
2907160592,10/1/2016,1000,10/1/2015,1000,0,0,50000,1,0,0,0,0,12,yes,,8,Media,Corporate,United States,North America,45,"106,349",0,2,1,1,no,10/31/2015,10/31/2016,TRUE,Churned,0,8,,,10/23/2016,1,0,
2907683180,12/1/2016,3650,,,0,0,0,0,0,0,0,0,30,yes,,0,Retail,Corporate,United States,North America,1,"221,841","244,000",2,1,1,no,1/31/2016,12/31/2016,TRUE,Active,0,14,,84,1/11/2017,,,
2987120261,12/1/2016,3833,12/1/2015,3000,0,0,0,0,0,0,0,0,180,yes,,0,Retail,Corporate,United States,North America,35,"875,337","50,000,000",3,1,1,no,10/31/2015,12/31/2016,TRUE,Active,0,17,,,10/15/2016,1,0,
2993520102,12/1/2016,1000,,,0,0,0,0,0,0,0,0,48,,,0,Retail,Corporate,United States,North America,20,"100,000","2,100,000",2,1,1,no,1/31/2016,12/31/2016,TRUE,Active,,2,Annual,31,1/15/2017,,,
