customer_id,for_month,mrr,last_yr,last_mrr,sig_exp_90,partner_flag,logins,running_experiment_days,utilization,churn_dollars,churned
A1825,12/1/2016,1933,12/1/2015,1155,1,1,192,0,0,0,1
A1826,12/1/2016,3000,,0,0,0,0,0,0,,1
A1827,12/1/2016,1500,12/1/2015,1500,1,1,384,0,0,0,1
A1828,12/1/2016,2600,,0,1,0,44,0,0,,1
A1829,12/1/2016,4400,12/1/2015,4400,1,0,0,0,0,0,1
A1830,12/1/2016,4167,,0,1,0,126,0,0,,1
A1831,12/1/2016,1818,,0,1,0,0,0,0,,1
A1832,12/1/2016,1546,,0,1,0,130,0,0,,1
A1833,12/1/2016,2721,,0,1,0,192,0,0,,1
A1834,12/1/2016,2500,12/1/2015,8781,1,0,216,0,0,-6281,1
A1835,12/1/2016,2310,,0,0,1,24,0,0,,1
A1836,12/1/2016,1700,12/1/2015,942,1,0,48,0,0,0,1
A1837,12/1/2016,1000,,0,1,1,60,0,0,,1
A1838,12/1/2016,3000,12/1/2015,3000,1,1,24,0,0,0,1
A1839,12/1/2016,5700,,0,1,0,135,0,0,,1
A1840,12/1/2016,2521,,0,1,0,85,0,0,,1
A1841,12/1/2016,2500,12/1/2015,2500,0,0,24,0,0,0,1
A1842,11/1/2016,1348,,0,1,0,0,46,7,,1
A1843,11/1/2016,2006,,0,1,0,45,427,29926,,1
A1844,12/1/2016,1973,12/1/2015,2331,1,1,135,0,0,-358,1
A1845,12/1/2016,2000,12/1/2015,2000,0,0,0,0,0,0,1
A1846,12/1/2016,2107,12/1/2015,2183,1,0,0,0,0,-76,1
A1847,11/1/2016,846,,0,1,0,0,28,61,,1
A1848,12/1/2016,10000,,0,1,1,36,0,0,,1
A1849,12/1/2016,1688,12/1/2015,1688,0,0,0,0,0,0,1
A1850,11/1/2016,940,,0,0,0,9,3,3,,1
A1851,12/1/2016,1847,12/1/2015,1840,1,0,144,0,0,0,1
A1852,12/1/2016,2400,,0,0,0,174,0,0,,1
A1853,12/1/2016,3729,,0,1,0,276,0,0,,1
A1854,12/1/2016,2000,,0,1,1,228,0,0,,1
A1855,12/1/2016,8908,,0,1,0,180,0,0,,1
A1856,12/1/2016,2625,,0,0,0,0,0,0,,1
A1857,12/1/2016,1250,12/1/2015,1250,1,1,429,0,0,0,1
A1858,11/1/2016,1875,,0,1,0,144,229,46308,,1
A1859,12/1/2016,2335,,0,1,1,550,0,0,,1
A1860,12/1/2016,3693,12/1/2015,494,1,0,198,0,0,0,1
A1861,12/1/2016,1042,12/1/2015,1040,0,1,48,0,0,0,1
A1862,12/1/2016,4159,,0,1,0,360,0,0,,1
A1863,12/1/2016,2212,12/1/2015,2683,1,0,432,0,0,-471,1
A1864,12/1/2016,2600,12/1/2015,1625,0,1,0,0,0,0,1
A1865,12/1/2016,1618,,0,1,0,96,0,0,,1
A1866,12/1/2016,2493,12/1/2015,1083,0,1,384,0,0,0,1
A1867,12/1/2016,3300,12/1/2015,3300,0,0,0,0,0,0,1
A1868,12/1/2016,3000,12/1/2015,3000,1,0,77,0,0,0,1
A1869,12/1/2016,1845,12/1/2015,2222,1,0,0,0,0,-377,1
A1870,12/1/2016,2067,,0,0,0,30,0,0,,1
A1871,1/1/2016,1332,,0,0,0,0,37,9118,,0
A1872,12/1/2016,7281,,0,1,0,504,0,0,,1
A1873,12/1/2016,1000,,0,0,1,24,0,0,,1
A1874,11/1/2016,2889,,0,0,0,84,39,108,,1
A1875,12/1/2016,1068,,0,1,0,96,0,0,,1
A1876,12/1/2016,2306,,0,0,0,0,0,0,,1
A1877,11/1/2016,6478,,0,0,0,12,37,255,,1
A1878,12/1/2016,4798,,0,1,1,50,0,0,,1
A1879,12/1/2016,3285,12/1/2015,2551,0,1,0,0,0,0,1
A1880,11/1/2016,8000,,0,1,0,72,526,1503,,1
A1881,11/1/2016,1163,,0,1,1,0,302,33,,1
A1882,12/1/2016,2500,12/1/2015,2500,0,0,0,0,0,0,1
A1883,12/1/2016,1250,,0,0,0,12,0,0,,1
A1884,11/1/2016,2238,,0,0,1,0,0,0,,1
A1885,12/1/2016,1000,,0,1,0,60,0,0,,1
A1886,12/1/2016,2000,12/1/2015,2000,0,0,0,0,0,0,1
A1887,12/1/2016,1388,,0,0,0,18,0,0,,1
A1888,12/1/2016,4469,,0,1,1,96,0,0,,1
A1889,12/1/2016,2670,12/1/2015,1755,1,1,264,0,0,0,1
A1890,12/1/2016,2962,,0,1,0,120,0,0,,1
A1891,12/1/2016,9131,,0,1,0,660,0,0,,1
A1892,12/1/2016,1200,,0,0,0,36,0,0,,1
A1893,12/1/2016,2474,,0,1,0,0,0,0,,1
A1894,12/1/2016,1000,12/1/2015,1000,0,0,0,0,0,0,1
A1895,12/1/2016,7639,12/1/2015,22917,1,0,121,0,0,-15278,1
A1896,12/1/2016,1375,,0,0,0,0,0,0,,1
A1897,12/1/2016,4167,,0,0,0,84,0,0,,1
A1898,12/1/2016,2214,,0,1,0,144,0,0,,1
A1899,12/1/2016,2653,,0,0,0,36,0,0,,1
A1900,12/1/2016,1428,,0,0,0,48,0,0,,1
A1901,12/1/2016,3217,,0,1,1,120,0,0,,1
A1902,12/1/2016,1117,,0,0,0,0,0,0,,1
A1903,12/1/2016,12490,,0,1,0,48,0,0,,1
A1904,12/1/2016,1250,12/1/2015,1250,0,0,72,0,0,0,1
A1905,12/1/2016,7815,,0,1,1,1068,0,0,,1
A1906,12/1/2016,1417,,0,1,0,156,0,0,,1
A1907,12/1/2016,2000,,0,0,0,12,0,0,,1
A1908,12/1/2016,1025,12/1/2015,1204,0,0,48,0,0,-179,1
A1909,12/1/2016,4698,,0,1,0,96,0,0,,1
A1910,12/1/2016,2100,,0,1,0,0,0,0,,1
A1911,12/1/2016,1180,,0,0,1,0,0,0,,1
A1912,12/1/2016,4144,,0,1,1,0,0,0,,1
A1913,12/1/2016,5200,,0,1,1,0,0,0,,1
A1914,12/1/2016,3646,,0,0,1,0,0,0,,1
A1915,12/1/2016,4500,,0,1,0,216,0,0,,1
A1916,11/1/2016,3000,,0,0,1,0,23,19,,1
A1917,12/1/2016,2000,,0,0,0,0,0,0,,1
A1918,12/1/2016,12150,,0,1,0,588,0,0,,1
A1919,12/1/2016,1125,,0,0,0,13,0,0,,1
A1920,12/1/2016,2000,,0,0,0,0,0,0,,1
A1921,12/1/2016,2000,,0,1,0,24,0,0,,1
A1922,11/1/2016,1832,,0,0,0,0,0,0,,1
A1923,12/1/2016,1600,,0,0,0,22,0,0,,1
A1924,12/1/2016,1558,,0,0,0,36,0,0,,1
A1925,12/1/2016,4825,,0,0,0,0,0,0,,1
A1926,12/1/2016,2152,,0,1,1,165,0,0,,1
A1927,12/1/2016,3331,,0,1,0,288,0,0,,1
A1928,12/1/2016,2064,,0,0,0,0,0,0,,1
A1929,12/1/2016,2922,,0,1,0,24,0,0,,1
A1930,12/1/2016,3309,,0,1,1,396,0,0,,1
A1931,12/1/2016,2000,,0,1,1,385,0,0,,1
A1932,12/1/2016,1500,,0,0,1,72,0,0,,1
A1933,12/1/2016,2275,,0,1,1,36,0,0,,1
A1934,12/1/2016,2000,,0,0,0,108,0,0,,1
A1935,12/1/2016,2608,,0,0,0,0,0,0,,1
A1936,11/1/2016,2376,,0,0,0,0,0,0,,1
A1937,12/1/2016,2500,,0,0,0,24,0,0,,1
A1938,12/1/2016,2000,,0,0,0,12,0,0,,1
