user_id,referrer_type,days_since_purch
283952,obsessions,62
7834214,obsessions,99
9171264,Misc,6
7154186,search,53
6890698,search,31
251588,obsessions,43
8387002,browse_search,68
9090974,flash_sale,71
9171442,obsessions,48
3367768,obsessions,83
1950092,Misc,71
9385086,Misc,8
5601740,flash_sale,13
2354528,obsessions,15
4407188,Misc,13
6646386,obsessions,5
8777332,carousel,2
8282002,search,67
4558592,search,101
6383308,search,91
6973600,obsessions,19
1759670,search,1
9296092,obsessions,27
6103730,search,73
6877602,feeds,68
115052,browse_search,71
437666,search,100
4482224,search,74
629452,obsessions,16
7119320,obsessions,49
1690030,flash_sale,72
7792820,search,77
7545150,Misc,46
220414,obsessions,62
3499662,search,100
9203190,obsessions,43
588928,search,98
7042000,obsessions,45
8556390,saved_search,74
8150468,search,101
8464534,feeds,68
4600074,ymal,7
8609220,Misc,20
4722306,obsessions,34
8633662,obsessions,29
2029750,obsessions,54
29866,obsessions,32
9053290,search,80
7778222,ymal,72
8452790,search,89
1265858,flash_sale,64
6889516,search,101
7075698,search,64
4442508,obsessions,43
6284760,obsessions,7
8899574,obsessions,35
3626814,browse_search,36
7497980,search,2
5806020,obsessions,64
9298444,obsessions,13
1120494,saved_search,9
4719508,flash_sale,97
9261622,obsessions,4
8662528,flash_sale,21
6620278,obsessions,63
7153136,saved_search,23
1156724,search,78
6065184,flash_sale,90
4493984,obsessions,35
1611526,saved_search,38
1008522,obsessions,76
8469752,flash_sale,28
7202814,search,57
8425186,ymal,38
61590,obsessions,45
457626,flash_sale,15
8718574,obsessions,82
4176902,saved_search,36
436308,obsessions,27
5696466,flash_sale,51
8031030,Misc,55
8990928,ymal,60
7803656,search,36
6038168,flash_sale,9
7280010,obsessions,89
1718526,search,81
2197564,browse_search,15
8406162,obsessions,54
8028518,obsessions,98
8864292,obsessions,78
640012,saved_search,1
8131872,Misc,20
8453996,obsessions,5
8811666,search,87
6741190,browse_search,9
3156806,saved_search,72
7554306,obsessions,41
335668,search,86
2441954,obsessions,101
9150706,flash_sale,57
8418310,obsessions,56
7674280,search,75
889994,search,60
8483598,obsessions,35
7742712,obsessions,8
6276974,obsessions,38
8558474,saved_search,69
8101152,search,99
9153528,flash_sale,14
7171470,obsessions,40
5748770,saved_search,9
6921376,search,88
8506794,obsessions,65
4280982,obsessions,53
9126020,ymal,61
448240,search,7
7740476,search,86
2889554,flash_sale,79
7576490,search,75
7777206,flash_sale,37
2782502,Misc,33
6235612,obsessions,57
9148818,obsessions,57
4654970,search,81
6824922,search,58
767668,ymal,75
4197060,obsessions,85
9313012,flash_sale,24
8349340,Misc,29
6682010,saved_search,48
2641958,search,95
7694384,saved_search,53
8130276,search,35
8615424,Misc,71
8866650,saved_search,59
9200132,search,48
5654062,obsessions,80
5417190,search,48
6433096,Misc,66
818604,browse_search,9
9300070,search,24
6681374,search,67
9253510,feeds,6
5262434,search,29
8437214,saved_search,49
6068606,search,59
1344824,flash_sale,24
8528318,search,11
8867840,search,85
953228,obsessions,34
7173900,flash_sale,23
5918014,ymal,35
9193180,saved_search,31
8479082,obsessions,97
3210504,saved_search,71
9242572,obsessions,40
9023982,search,85
6872856,search,15
621824,flash_sale,51
1882914,search,67
2049122,obsessions,79
1926932,obsessions,83
8912568,deeplink,53
3094468,saved_search,29
8346608,flash_sale,72
5679424,flash_sale,76
1418544,flash_sale,28
659118,saved_search,8
8033782,saved_search,17
8771178,ymal,33
7077352,flash_sale,49
1012508,search,94
8834800,obsessions,5
7706728,obsessions,83
286530,saved_search,51
9251510,search,38
8544130,saved_search,64
8188538,obsessions,49
1484912,search,82
8067148,obsessions,47
644912,Misc,36
3771270,flash_sale,29
3723640,search,36
7096448,obsessions,90
7987362,Misc,101
6325480,flash_sale,46
1151964,ymal,53
8235232,Misc,15
7412210,obsessions,87
7949450,obsessions,66
5676274,feeds,14
8476232,obsessions,54
7888284,obsessions,41
9272804,saved_search,18
693574,search,6
6184340,Misc,77
1400432,search,73
9023142,obsessions,50
2060048,Misc,38
6376630,obsessions,7
9120438,obsessions,64
7669400,Misc,100
391348,Misc,46
6237512,obsessions,2
9149188,obsessions,52
1222620,ymal,8
1652228,saved_search,17
6352774,obsessions,94
2572060,search,78
5310010,Misc,35
8057072,feeds,68
6647498,obsessions,95
7909842,saved_search,43
252792,saved_search,11
1742348,flash_sale,33
3576914,obsessions,38
8944372,flash_sale,76
6657754,search,58
6402862,flash_sale,100
7451440,search,10
1078974,search,93
4696680,flash_sale,37
8627354,obsessions,25
8992936,search,88
6432310,obsessions,41
8603870,Misc,53
1604624,search,16
4265696,search,96
8999740,flash_sale,94
8893272,obsessions,10
4196704,search,99
7339502,obsessions,36
4575354,Misc,6
8293516,Misc,12
6269918,search,16
7565970,search,64
1518316,obsessions,100
4451194,obsessions,76
352030,search,35
8870062,feeds,100
6539320,search,37
9264810,obsessions,29
4072028,saved_search,24
8615518,obsessions,97
8246972,obsessions,67
6013858,obsessions,51
7830826,obsessions,41
4444682,obsessions,92
5819272,obsessions,25
1752076,search,54
7764932,browse_search,66
6741080,Misc,40
1205516,browse_search,11
8510532,ymal,29
8681092,obsessions,55
2137148,obsessions,74
6786734,flash_sale,76
8130920,flash_sale,22
9128084,search,40
1952602,Misc,52
9215188,Misc,43
8772492,obsessions,16
7899704,obsessions,40
6961848,feeds,96
7742816,saved_search,40
8193296,obsessions,44
6848444,flash_sale,49
8977186,obsessions,27
6267368,saved_search,9
3619544,ymal,2
7969668,flash_sale,48
783442,obsessions,46
8147606,search,10
9064938,obsessions,55
1533060,search,67
1090762,search,85
8822404,Misc,68
8300422,obsessions,95
1789520,search,25
8368920,search,37
8598452,obsessions,89
5556392,obsessions,6
408858,saved_search,25
6843106,search,89
356584,Misc,13
3160262,search,80
1486844,obsessions,43
4354720,carousel,22
6463652,search,48
5551734,obsessions,96
8580794,Misc,37
9051854,obsessions,78
1550324,obsessions,99
7367256,search,12
9346626,search,14
8632780,deeplink,15
9278636,flash_sale,30
3356548,browse_search,92
9234148,search,29
7024386,obsessions,98
8316634,obsessions,56
5315408,search,65
8694214,Misc,76
5166594,Misc,46
4453024,search,94
4020010,obsessions,92
8473452,flash_sale,75
775230,obsessions,67
215946,obsessions,86
7980164,obsessions,95
8340936,Misc,52
6835406,obsessions,98
6012488,obsessions,43
632260,search,96
1562726,flash_sale,46
1817894,flash_sale,57
8543606,flash_sale,28
6981158,obsessions,74
9273086,obsessions,23
2036672,flash_sale,19
562802,browse_search,87
7766040,browse_search,65
1248974,obsessions,63
8985642,search,35
9080514,flash_sale,74
3202318,obsessions,91
1539246,obsessions,93
4507526,ymal,39
9297676,obsessions,28
8321190,flash_sale,8
850584,saved_search,17
1663352,flash_sale,47
3692800,saved_search,51
