user,browse_search,carousel,deeplink,feeds,flash_sale,Misc,obsessions,saved_search,search,shop_browse_categories,shop_browse_designers,shop_browse_new_arrivals,shop_browse_sale,ymal
451126,,,,,,,,,13,,,,,
451334,,,,,36,,,,,,,,,
451520,,,,,,,,,50,,,,,
451958,,,,,29,,,,,,,,,
452188,,,,,92,,,,,,,,,
453794,,,,,,,78,,78,,,,,
454912,,,,,,,,,99,,,,,
454980,,,,,22,,,,,,,,,
455650,,,,,80,,1,,,,,,,
457448,,,,,,,,,12,,,,,
457626,,,,,15,18,9,,18,,,,,
458408,,,,,,48,48,,,,,,,
459124,43,,,,,24,24,,,,,,,85
461056,,,,,13,,,,,,,,,
461158,,,,22,,,,,,,,,,
461644,,,,,,,7,,,,,,,
462798,,,,,,,,50,18,,,,,
463090,,,,,,,91,,,,,,,
463948,,,,,,,10,,,,,,,
464010,,,,,,,,,34,,,,,
464418,,,,,,,10,,,,,,,
467228,,,,,,,71,,,,,,,
467530,,3,,,,,,,,,,,,
468352,,,,,,,40,,77,,,,,
468446,,7,,,,,7,,,,,,,
468804,,,,,,,22,,,,,,,
469502,,,,,,,37,,37,,,,,
469772,,,,,,41,11,,,,,,,
469844,,,,,,,6,,,9,,,,
470734,,,,,99,,29,,99,,,,,
472700,,,,,,32,32,,,,,,,50
474990,,,,,,,87,,29,,,,,
475894,,,,,74,,70,,20,,,,,
476754,,,,,,,2,,,,,,,
477840,,,,,,,,,40,,,,,
477850,,,,,,,18,,,,,,,
477924,,,,,,,33,,,,,,,
478166,,,,,,13,13,,,,,,,
479114,,,,,,,,,96,,,,,
480174,,,,,16,,,,,,,,,
480580,,,,,30,,,,16,,,,,
481152,,,,,,,,,32,,,,,
481192,,,,,,,40,,6,,,,,
481536,48,,,,26,,26,68,68,,,,,
481796,,,,,,,9,,,,,,,
481830,,,,,,,77,,,,,,,
484708,,,,,45,,,,56,,,,,57
485676,,,,,41,,41,,54,,,,,
485802,,,,,70,,76,,,,,,,
487494,,,,,,,,4,11,,,,,
489974,,,,,96,41,79,,101,,,,,
490146,,,,,,,,,57,,,,,
491178,,,,,85,,,,,,,,,
491876,,,,,,,11,,,,,,,
492534,,,,,,52,,,,,,,,
492550,,,,,,,,,15,10,,,,
493416,,,,,,,,8,,,,,,
493814,,,,,,,44,,,,,,,
494032,,,,,,,15,,,,,,,
494556,,,,,18,,11,,,,,,,
494644,,,,,,,51,,,,,,,
496026,,,50,,,,50,,,,,,,
497532,,,,,50,,,,,,,,,
498132,,,,,,,,,9,,,,,
500842,,,,,,,,,10,,,,,
501154,,,,,,,67,,,,,,,
502338,,,,,,57,57,,,,,,,
503208,58,,,,,,,,37,,,,,
503316,,,,,30,,26,,2,,,,,
504422,,,,,,,,2,2,,,,,
504644,,,,,,,8,,,,,,,
504718,,,32,,,,32,,,,,,,
505024,,,,,,,,,12,,,,,
505618,,,,,29,,10,,88,,,,,
507324,,,,59,,17,,,,,,,,
507388,,,,100,,,101,65,,,,,,
508504,,,,,25,,,,,,,,,
508550,,,,,,,77,,90,,,,,
510962,,,,,,90,33,,,,,,,
511052,,35,,,,,,,76,,,,,
511948,,,,,76,,,,58,,,,,
512444,,,,,70,,100,,,,,,,
513262,,,,,,,,,38,,,,,
513792,,,,,1,,,,1,,,,,38
514522,,,,,,,10,,10,,,,,
515274,,,,,52,,,,,,,,,
515352,40,,,,,,,,,,,,,
516732,,,,,,,22,,,,,,,
517164,,,,,,,51,59,59,,,,,
519904,,,,,,39,,,,,,,,
521228,,,,,,,23,,,,,,,
522226,,,,,,,18,,18,,,,,
524174,,,,,,,30,,,,,,,
524396,,,,,,,,,,,,,,15
525098,,,,,,,66,,,,,,,
525522,,16,,,,,,,,,,,,
525730,,,,,,,27,,94,,,,,
525772,,,,,35,,,,95,,,,,
525810,,,,,99,,95,,,,,,,
526154,,,,,,,43,,6,,,,,
527240,,,,,,,,,8,,,,,
527656,,,,,,,,,59,,,,,
528698,,,,,13,,18,,,,,,,
530618,4,,,,2,,4,,,,,,,
530896,,,,,,,7,,19,,,,,
531354,,,,,,,15,,,,,,,
535966,,,,,7,,,,,,,,,
537496,10,,,,5,22,1,,,,,,,
537632,,,,,57,,,,,,,,,
538364,,,,,,,,,48,,,,,
539002,8,,,,,,,,,,,,,
541438,,,,,,,,,6,,,,,
541728,,,,,50,,,,,,,,,
542094,,,,,,,,,8,,,,,
542850,,,,9,,,10,10,,,,,,
543072,,,,,,,27,,,,,,,
543670,,,,,,,,23,,,,,,
543718,,,,,,,11,11,25,,,,,
544828,,,,,88,,9,,,,,,,
544902,,,,88,,,9,,,,,,,
545632,,,,,,,43,,,,,,,
545640,,,,,,,,,67,,,,,
546048,,,,,,,,,76,,,,,
546770,,,,,,,,,36,,,,,
547024,16,,,,,,,,,,,,,
547678,,,,,,,,2,20,,,,,
549210,,,,,,,43,,,,,,,
549732,,,,,,23,,,41,,,,,
552324,,,,,76,13,13,,100,,,,,
552728,,48,,,,,,,,,,,,
554470,,,,,46,,23,,23,,,,,
555350,,,,,,,26,,,,,,,
555504,,,,,15,,20,,6,,,,,
557552,61,,,,,,25,,,,,,,
558226,,,,,,19,35,,,,,,,
561118,,,,,,,11,,,,,,,
562802,87,,87,,,,,,,,,,,
563172,,,,,83,,,,,,,,,
564692,,,,,,,,4,,,,,,
564834,,,,,,,,14,27,,,,,
565518,,,,,,,,,83,,,,,
566408,,,,,,49,18,17,38,,,,,
567238,,,,,,,72,72,,,,,,
567336,,,,,,51,,,,,,,,
567642,,,,,,,,,17,,,,,
